,Country Name,Year,GDP (current US$),Military expenditure (% of GDP),GDP per capita (current US$),"Population, total","Current health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),"Government expenditure on education, total (% of GDP)",Military expenditure (current US$),Education expenditure (current US$),Health expenditure (current US$),Military expenditure per capita,Education expenditure per capita,Health expenditure per capita
79,United States,2014,17521746534000.002,3.4808971959245802,55047.725560454404,318301008,9067.9990234375,16.5316626429558,4.96174,60991398377901.836,86938350647609.17,289663602615468.1,191615.47354541157,273132.50182232907,910030.4282274473
80,European Union,2015,13546911044356.314,1.401952708822437,30473.740256369936,444543759,3699.9503764056794,,4.89556,18992128634811.926,66319715832308.99,,42722.74270036918,149186.02384947438,
81,Argentina,2015,594749285413.2124,0.850128583186764,13789.060424772022,43131966,1794.30895996094,8.78850445151329,5.77611,505613367359.67456,3435337294968.1104,5226956742388.365,11722.474402388116,79647.12981012992,121185.21892529464
82,Australia,2015,1351693984524.503,1.95845125365234,56755.7217124249,23815995,4413.67333984375,9.31473970413208,5.31196,2647226778546.3394,7180144378034.778,12590677625486.88,111153.31433964187,301484.1235075326,528664.7744713954
83,Brazil,2015,1802214373741.3206,1.36551715396161,8814.000986812613,204471769,1392.55700683594,8.87020379304886,6.24106,2460954642459.953,11247728039382.006,15986008773847.438,12035.66954252718,55008.70899875672,78181.98498516163
84,Canada,2015,1556129524418.2126,1.15012649687129,43585.51198177506,35702908,4652.23193359375,10.5106920003891,5.27444,1789745798597.1055,8207711808772.397,16355998143871.8,50128.85220994059,229889.16781715365,458113.8921197064
85,China,2015,11061552790044.158,1.9070864861799601,8066.94242356745,1371220000,705.555908203125,4.88872304558754,,21095337842059.45,,54076868044672.02,15384.3568807773,,39437.04733352199
86,France,2015,2438207896251.8413,2.26989054016681,36638.18492915701,66548272,4688.63232421875,11.4590764045715,,5534465038662.074,,27939610573379.39,83164.66937957569,,419839.7604280302
87,Germany,2015,3360549973888.579,1.17745649193469,41139.544568553334,81686611,5352.015625,11.0880129039288,4.80518,3956901383226.06,16148047523529.922,37261821474774.16,48440.023827479636,197682.9167699211,456155.8010378734
88,India,2015,2103587817041.7832,2.4051274700264003,1605.6054335548802,1310152403,220.738708496094,3.59565988183022,3.84467,5059396844380.0625,8087600972546.032,7563786321643.948,3861.6857342664907,6173.023042225441,5773.2110434819
89,Indonesia,2015,860854235065.0789,0.8869711326333379,3331.6951275862816,258383256,333.485198974609,3.01182251423597,3.5836,763552855907.8788,3084957236779.217,2592740166644.388,2955.117400904178,11939.4626592182,10034.474395834644
90,Italy,2015,1835899237320.0383,1.21061949945203,30230.2263021296,60730582,3307.3291015625,8.98803398013115,4.08169,2222575415728.7485,7493571557976.827,16501124729129.365,36597.30143420573,123390.41239513936,271710.3012305952
91,Japan,2015,4389475622588.974,0.9580504310453399,34524.46986093372,127141000,4368.68017578125,10.8855068683624,3.388385,4205339012284.3784,14873233357446.14,47781667038201.6,33076.1832318794,116982.1958097399,375816.3537977647
92,"Korea, Rep.",2015,1465773245547.1497,2.64475851305641,28732.231076259857,51014947,2540.34204101563,7.0450559258461,4.59437,3876616269371.148,6734304626144.457,10326454489488.617,75989.81273804221,132006.50048983598,202420.174806584
93,Mexico,2015,1170564619927.6895,0.661709561237215,9605.952351031388,121858258,1026.03564453125,5.79708740115166,5.23524,774573801052.1588,6128186720830.237,6785865410416.689,6356.3505154665745,50289.46598621357,55686.54535022722
94,Russian Federation,2015,1363481063446.766,4.86275810199369,9313.01362484996,144096870,1296.47827148438,5.29517084360123,3.83372,6630278588190.734,5227204622557.136,7219865172965.715,46012.648214987144,36275.629183042875,50104.24704551678
95,Saudi Arabia,2015,654269902880.0,13.325672334973401,20627.932782067484,31717667,3249.42724609375,5.99834509193897,,8718586344413.75,,3924536660743.6343,274881.07320168754,,123733.45936016146
96,South Africa,2015,317620522794.82697,1.09918207478519,5734.633629153307,55386367,1083.67761230469,8.20090919733047,5.95619,349122785239.9746,1891808181665.3206,2604777066649.0083,6303.406490625655,34156.56747562664,47029.20967264396
97,Turkey,2015,859796872683.8235,1.8470557437933102,10948.724606902664,78529409,1064.02099609375,4.13854606449604,,1588092752186.1816,,3558308963711.6406,20222.904672390716,,45311.80113314797
98,United Kingdom,2015,2928591002002.5137,1.8596120240168101,44974.831877178156,65116219,4089.931640625,9.68684554100037,5.60939,5446043040751.3125,16427609080722.88,28368808689161.855,83635.73813693502,252281.37218352436,435664.24962668447
99,United States,2015,18219297584000.0,3.2718312641764196,56822.518820245554,320635163,9538.0703125,16.8398812413216,4.96174,59610467446665.11,90399417594436.16,306810807614857.56,185913.6935853324,281938.5645311652,956884.4687656966
100,European Union,2016,13882598814513.09,1.4149482325486975,31162.69639309366,445487728,3850.2861042632812,,4.80093,19643158655777.94,66649385126560.33,,44093.60218285955,149609.92399449516,
101,Argentina,2016,557531376217.9669,0.813140077928875,12790.242473244707,43590368,1521.07507324219,7.54439905285835,5.54549,453351106705.67053,3091784671502.973,4206239186677.642,10400.258761423407,70928.16173295378,96494.693200976
102,Australia,2016,1208846993739.9915,2.09284952414869,49971.13145612901,24190907,4634.654296875,9.19608399271965,5.27163,2529934855617.3154,6372594077609.551,11116658488779.607,104582.05868913123,263429.31571807334,459538.72208179743
103,Brazil,2016,1795700168991.4932,1.35015057288696,8710.096689541213,206163058,1401.00671386719,9.20620560646057,6.24106,2424465611897.0757,11207072496686.049,16531584963291.676,11759.942035284885,54360.236045228085,80186.94097606796
104,Canada,2016,1528243213982.0796,1.15845887951202,42322.48478030384,36109487,4809.2763671875,10.7378765940666,5.27444,1770406921291.5283,8060627137555.641,16410087037459.287,49028.858296755316,223227.40662462584,454453.61872516456
105,China,2016,11233277146512.152,1.92494712446006,8147.938147782204,1378665000,762.9755859375,4.98188063502312,,21623464541441.477,,55962845884056.66,15684.350107851782,,40592.0552738023
106,France,2016,2471285607081.7163,2.32732364460048,37037.374186121946,66724104,4842.611328125,11.4789254963398,,5751481425922.13,,28367703363867.895,86197.95667727708,,425149.2588625528
107,Germany,2016,3466790065011.8267,1.18990426457789,42098.92044535446,82348669,5568.27001953125,11.1306592822075,4.80093,4125148282753.8325,16643816426817.229,38587659016588.63,50093.684972052586,202113.97013371557,468588.7396259997
108,India,2016,2294797978291.985,2.5064707505609602,1732.5642617842798,1324509589,233.007827758789,3.51098328828812,3.84467,5751844011035.285,8822740943199.846,8056997351780.522,4342.62164562954,6661.137840354168,6083.00416900985
109,Indonesia,2016,931877364177.7417,0.7906948005280129,3562.8457564197097,261554226,362.559692382813,3.11905480921268,3.5836,736830586585.0898,3339475722267.3555,2906576574335.0215,2817.1236146843594,12767.814052705673,11112.711191043885
110,Italy,2016,1875797463583.867,1.33960598612479,30939.71424622977,60627498,3465.28125,8.88062864542007,3.82926,2512829510974.646,7182916195403.158,16658260688109.197,41447.026413239844,118476.21017451781,274764.1126161795
111,Japan,2016,4922538141454.615,0.9395826029538029,38761.818150192456,126994511,4424.97705078125,10.8255289494991,3.18618,4625131200087.303,15684092575539.865,53289079155330.43,36419.92999277979,123502.12975378019,419617.184520128
112,"Korea, Rep.",2016,1500111596236.3716,2.60788129512616,29288.870438983326,51217803,2745.06518554688,7.32512027025223,4.59437,3912112972426.6797,6892067714400.498,10988497861231.475,76381.89737319814,134563.90767875183,214544.4985453881
113,Mexico,2016,1077903618176.0708,0.5592301906544169,8739.756042809295,123333376,1020.01184082031,5.61609193682671,4.90983,602796245899.69,5292323521629.418,6053605818714.969,4887.535438093334,42910.71641166636,49083.2734418538
114,Russian Federation,2016,1276786979221.8135,5.4524065102010795,8704.89841329594,144342396,1291.3173828125,5.26546724140644,3.74303,6961561637648.986,4779051966836.625,6722880013346.743,48229.50034478426,33109.135633557205,46575.92086351915
115,Saudi Arabia,2016,644935541440.0,9.87273832986563,19879.29753041775,32442572,3176.90966796875,5.83562962710857,,6367279840267.331,,3763604953202.5713,196263.10269935845,,116008.21763461205
116,South Africa,2016,296357282715.1093,1.0755295517852899,5272.918424754186,56203654,1076.10986328125,8.09582769870758,5.94285,318741015446.88794,1761206877583.4873,2399257498118.6953,5671.1795899762665,31336.163260550413,42688.63903615048
117,Turkey,2016,863721648058.0114,2.0675426093278397,10820.633842210817,79821724,1132.59912109375,4.31431420147419,,1785781309958.8027,,3726366572337.3706,22372.121528705677,,46683.61425440235
118,United Kingdom,2016,2694283209613.294,1.81078016820308,41064.13343162227,65611593,4182.1845703125,9.69904437661171,5.48697,4878754603490.295,14783451142651.855,26131972413199.168,74358.11844242671,225317.66821530845,398282.85244040895
119,United States,2016,18707188235000.0,3.20789216926033,57927.51685150619,322941311,9941.34765625,17.197260260582,4.96174,60010642647935.48,92820204153128.89,321712384820992.6,185825.2276926425,287421.2774627923,996194.5835446015
120,European Union,2017,14735710571465.291,1.4405752140859578,33029.98795035221,446131273,4054.2744840959967,,4.80093,21227899411197.324,70745114953864.86,,47582.18196283524,158574.6600504844,
121,Argentina,2017,642695864756.3501,0.8561379163735431,14591.863381054129,44044811,1916.50415039063,9.12431478500366,5.46223,550236298514.394,3510552633348.078,5864159381057.078,12492.647511063085,79704.1139158953,133140.7547885057
122,Australia,2017,1330135756844.4075,2.00796639339341,54066.4712686117,24601860,4816.15380859375,9.20594781637192,5.27163,2670867898394.4785,7011983559853.684,12245160366199.984,108563.65731674265,285018.4319337515,497733.11311421107
123,Brazil,2017,2062831045935.9531,1.41952663807017,9925.386237700412,207833831,1472.23095703125,9.46747660636902,6.24106,2928243619544.2363,12874252327549.04,19529804670290.375,14089.3501575508,61944.93103266253,93968.36201460568
124,Canada,2017,1649878054226.8237,1.29339510677837,45148.55270616548,36543321,4928.6279296875,10.5727694928646,5.27444,2133944202117.992,8702182804336.129,17443780358676.168,58394.91714827976,238133.33233550747,477345.2406987358
125,China,2017,12310408652423.508,1.8965104068693999,8879.438148885063,1386395000,841.114929199219,5.15119321644306,,23346818122136.29,,63413293542005.92,16839.946856513685,,45739.70155836246
126,France,2017,2595151045197.6514,2.34967851446849,38812.16103416815,66864379,5011.20068359375,11.3128922879696,,6097770652701.366,,29358664245332.758,91196.10088207603,,439077.79724287515
127,Germany,2017,3665804120835.3003,1.23414110223535,44349.58965527567,82657002,5922.63818359375,11.2468346953392,4.80093,4524119538266.565,17599268977841.82,41228692972527.87,54733.65146084739,212919.27546370265,498792.50365901086
128,India,2017,2652754685834.5913,2.5096245584148202,1981.651049899201,1338658835,253.322418212891,3.53495962917805,3.84467,6657418307020.481,10198966357987.678,9377380720538.182,4973.200141035547,7618.794342015961,7005.0564605119735
129,Indonesia,2017,1015618742565.8127,0.804336712672088,3837.6517312111655,264645886,367.94140625,2.98905447125435,3.5836,816899440723.5454,3639571325858.8467,3035739743556.0635,3086.7641778627362,13752.608743968332,11470.950066293732
130,Italy,2017,1961796197354.3564,1.36652876351231,32406.72031501343,60536709,3619.69799804688,8.84025916457176,3.82926,2680850931833.8003,7512227706681.144,17342786812683.879,44284.715441564564,124093.75783346835,286483.8062585113
